Date,Description,Withdrawal,Deposit,Balance
2026-02-01,KFC RAMA 9,-120.00,,50000.00
2026-02-02,GRAB THAILAND,-85.00,,49915.00
2026-02-05,SHOPEE PAY,-450.00,,49465.00
2026-02-10,STARBUCKS,-150.00,,49315.00
2026-02-15,SALARY DEPOSIT,,60000.00,109315.00
2026-02-16,ELECTRICITY BILL,-1200.00,,108115.00
2026-02-20,LAZADA,-2500.00,,105615.00
2026-02-21,NETFLIX,-419.00,,105196.00
2026-02-25,ATM WITHDRAWAL,-5000.00,,100196.00
2026-02-26,APPLE SERVICE,-299.00,,99897.00
2026-02-28,KFC RAMA 9,-120.00,,99777.00
